Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
430,AREA,57.96505553,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
439,AREA,154.77135302,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
441,AREA,123.23180463,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
442,AREA,101.75103068,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
443,AREA,216.30440833,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
445,AREA,32.11642959,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
456,AREA,252.81147345,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
457,AREA,158.94663865,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
459,AREA,1250.7702621,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
461,AREA,170.14390483,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
469,AREA,211.77097773,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
472,AREA,28.81367101,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
485,AREA,34.72625367,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
486,AREA,66.57950519,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
495,AREA,481.54080981,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
497,AREA,170.00750726,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
498,AREA,96.41521477,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
499,AREA,90.88878916,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
502,AREA,82.48045269,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
527,AREA,28.0193493,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
528,AREA,367.9802549,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
535,AREA,78.48517719,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
538,AREA,43.72598199,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
545,AREA,45.43320157,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
549,AREA,25.58864129,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
551,AREA,20.19862344,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
553,AREA,59.65636472,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
554,AREA,126.24498888,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
560,AREA,19.31206884,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
561,AREA,128.6658504,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
565,AREA,34.29115123,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
579,AREA,28.68363602,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
582,AREA,29.83938631,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
584,AREA,82.3615815,0.186306375,7.77600384,7.5896974649999995,-11.1982398225,19.1605500375,High
